,importance
active_days,0.64476025
account_age_days,0.058040403
clicks,0.047053643
n_unique_brands,0.043781888
days_bin_recent,0.018330337
engagement,0.017995285
days_bin_medium,0.017543431
avg_session_time,0.015543789
days_since_last_visit,0.01511631
clicks_per_time,0.0145644145
high_value_user,0.013856646
total_spend,0.013538502
spend_per_day,0.012760826
order_value_per_time,0.012696799
conversion_rate,0.012085134
avg_order_value,0.011986826
purchases_per_day,0.011576926
purchases,0.010774687
n_unique_categories,0.007993926
is_buyer,0.0
days_bin_long,0.0
